,Año,TTips,Pagina ,Clv Color,Clave Planta,Oferta,Descripción,Costo,Prec Rglr,Prec Vnt,Inc, Unds Rls
0,2021,6, 02-03,G280DL,10143216,45%D,Eco Twist 1 L,10.9334,184.9,99.9,4.092589849463958,442057.0
1,2021,6, 02-03,G280FE,10126164,45%D,Eco Twist 1 L,10.8253,184.9,99.9,4.212583553983743,455018.0
3,2021,6, 04-05,F250AF,10157792,20%D,Platos para Postre Floresta (4,25.8892,253.9,199.9,0.15309126594700687,16536.0
4,2021,6, 04-05,F251BB,10157791,10%D,Platos Hondos Floresta (4),25.1483,244.9,219.9,0.2637806210306071,28492.0
5,2021,6, 04-05,F82J,10157793,10%D,SERVILLETERO FLORESTA,25.6999,229.9,199.9,0.03371785138963468,3642.0
6,2021,6, 04-05,G09AV,10157790,20%D,Jarra Vision Jumbo,30.5299,353.9,279.9,0.24003369933527136,25927.0
7,2021,6, 04-05,F250AB,10144039,RECUAD,Platos P/postre Floresta (4),25.1219,253.9,199.9,0.047891939933712296,5173.0
9,2021,6, 06-07,F32AS,10143467,20%D,TAZON MURANO GRANDE,25.1878,258.9,199.9,0.11563315866461756,12490.0
10,2021,6, 06-07,F529AM,10142008,RECUAD,CUADRIPLATOS (4),30.8629,271.9,242.9,0.043022200825818875,4647.0
11,2021,6, 06-07,G82H,10143470,30%D,TAZAS MURANO (4),25.1076,329.9,229.9,0.1473790434573296,15919.0
12,2021,6, 06-07,F32,10051801,RECUAD,TAZON MURANO GRANDE,22.488,258.9,199.9,0.01707186105504842,1844.0
13,2021,6, 06-07,F529AQ,10148049,10%D,CUADRIPLATOS,29.7196,271.9,242.9,0.08171162997389227,8826.0
14,2021,6, 06-07,F164Y,10143472,10%D,CHAROLA MURANO,26.82,219.9,192.9,0.07984150202751496,8624.0
16,2021,6, 08-09,F30S,10088357,RECUAD,TAZON MURANO CHICO,9.6512,213.9,99.9,0.046475456885218584,5020.0
17,2021,6, 08-09,F30V,10102257,50%D,TAZON MURANO CHICO,9.7066,213.9,99.9,0.1330383098487233,14370.0
18,2021,6, 08-09,F31N,10100300,40%D,TAZON MURANO MEDIANO,13.8117,229.9,134.9,0.15706297331827357,16965.0
19,2021,6, 08-09,F31P,10104485,RECUAD,TAZON MURANO MEDIANO,14.0692,229.9,134.9,0.05611309645046013,6061.0
20,2021,6, 08-09,F385P,10114708,10%D,MEGA TAZON MURANO,35.7248,314.9,279.9,0.15614642546336585,16866.0
22,2021,6, 10-11,G40J,10115213,30%D,JARRA MURANO 1 L,11.0834,159.9,109.9,0.20812116947803064,22480.0
23,2021,6, 10-11,G64AB,10108097,30%D,VASOS MURANO GRANDES (4),19.2275,249.9,174.9,0.381552391356676,41213.0
24,2021,6, 10-11,RG622,10142243,SSS,Maleta Picnic,164.88,199.9,199.9,0.08443349936119392,9120.0
26,2021,6, 12-13,G132K,10112268,10%D,CUBETON EASY GO,44.29,359.9,319.9,0.2042790749347307,22065.0
27,2021,6, 12-13,G272N,10146098,10%D,VASOS DECORET (4),25.2087,242.9,217.9,0.05860351435924973,6330.0
28,2021,6, 12-13,G34AC,10122948,RECUAD,VASOS DECORET (4),23.3946,242.9,217.9,0.03043124039476364,3287.0
30,2021,6, 14-15,G364K,10156820,20%D,Jarra Ilumina Jumbo Con Infuso,41.4413,364.9,289.9,0.1608032292110282,17369.0
32,2021,6, 16-17,E192,10119661,50%D,MEDICUCHARAS,8.8041,168.9,79.9,0.145407076860407,15706.0
33,2021,6, 16-17,E192B,10133705,RECUAD,MEDICUCHARAS,9.0525,168.9,79.9,0.07755476141981595,8377.0
34,2021,6, 16-17,E193,10119662,25%D,MEDITAZAS,16.7221,222.9,164.9,0.17357009276575258,18748.0
36,2021,6, 18-19,E38BB,10136306,RECUAD,Ultra TAZON Grande,34.0558,352.9,314.9,0.0294869183624345,3185.0
37,2021,6, 18-19,E38BM,10146328,10%D,Ultra TAZON Grande,33.7739,352.9,314.9,0.08737756216786713,9438.0
38,2021,6, 18-19,E161L,10148557,50%D,ULTRA TAZON EXTRA MINI,8.8402,149.9,74.9,0.26707649008461865,28848.0
39,2021,6, 18-19,E54AN,10155478,RECUAD,ULTRA TAZON MINI,13.28,224.9,149.9,0.017858796081989373,1929.0
40,2021,6, 18-19,E54AP,10157789,30%D,Ultra Tazon Mini Lila,12.997,224.9,149.9,0.058659062714092616,6336.0
42,2021,6, 20-21,D580D,10157207,20%D,Eco Bote Jumbo Flores Mama,20.5987,239.9,189.9,0.17177402929249913,18554.0
43,2021,6, 20-21,D579C,10157206,20%D,Eco Bote Extra Grande Flores M,17.7571,223.9,178.9,0.09963523246986501,10762.0
